company_id,competitiveness,credibility,financial_flexibility,industrial_risk,is_bankrupt,management_risk,operating_risk
0,A,A,A,P,False,P,P
1,A,A,A,N,False,N,N
2,A,A,A,A,False,A,A
3,P,P,P,P,False,P,P
4,P,P,P,N,False,N,N
5,P,P,P,A,False,A,A
6,P,P,A,P,False,P,P
7,A,A,P,P,False,P,P
8,A,P,A,P,False,P,P
9,P,A,A,P,False,P,P
10,A,P,P,P,False,P,P
11,P,A,P,P,False,P,P
12,P,P,A,N,False,N,N
13,A,A,P,N,False,N,N
14,A,P,A,N,False,N,N
15,A,P,A,N,False,N,N
16,P,A,A,N,False,N,N
17,A,P,P,N,False,N,N
18,P,A,P,N,False,N,N
19,P,P,A,A,False,A,A
20,A,A,P,A,False,A,A
21,A,P,A,A,False,A,A
22,P,A,A,A,False,A,A
23,A,P,P,A,False,A,A
24,P,A,P,A,False,A,A
25,A,A,A,P,False,N,P
26,A,A,A,N,False,P,N
27,A,A,A,P,False,N,N
28,P,P,P,P,False,N,P
29,P,P,P,N,False,P,N
30,P,P,P,P,False,N,N
31,P,P,A,N,False,N,P
32,A,A,P,P,False,N,P
33,A,P,A,N,False,P,P
34,P,A,A,N,False,P,N
35,A,P,P,P,False,N,N
36,P,A,P,N,False,P,A
37,P,P,A,A,False,N,A
38,A,A,P,A,False,P,A
39,A,P,A,A,False,A,P
40,P,A,A,A,False,A,N
41,P,P,P,N,False,A,N
42,P,A,P,A,False,N,N
43,P,A,P,A,False,P,N
44,P,A,P,N,False,N,P
45,P,P,P,N,False,N,P
46,P,P,P,P,False,A,N
47,P,P,P,A,False,P,N
48,P,A,N,A,False,N,P
49,P,A,P,A,False,P,P
50,P,A,P,P,False,A,N
51,P,A,A,A,False,N,P
52,P,A,A,A,False,N,N
53,P,A,A,A,False,N,A
54,P,P,N,A,False,A,A
55,P,P,N,A,False,A,P
56,P,P,P,A,False,P,P
57,A,A,A,A,False,P,P
58,P,P,N,N,False,P,A
59,P,P,P,N,False,N,A
60,P,P,A,A,False,A,A
61,P,P,A,A,False,A,P
62,P,P,A,P,False,A,P
63,P,P,N,A,False,N,A
64,P,P,N,P,False,N,A
65,P,P,N,A,False,A,P
66,P,N,P,P,False,A,N
67,P,A,N,P,False,A,N
68,P,A,P,P,False,P,N
69,P,N,P,P,False,A,N
70,P,P,A,P,False,A,N
71,P,P,A,P,False,P,P
72,P,A,P,P,False,A,P
73,P,A,A,P,False,P,N
74,A,A,A,A,False,A,P
75,P,P,A,P,False,P,N
76,A,P,N,A,False,P,P
77,A,P,A,A,False,P,P
78,P,A,N,P,False,A,A
79,A,P,N,A,False,P,P
80,P,A,A,P,False,A,A
81,A,P,A,A,False,P,P
82,P,P,P,A,False,P,P
83,P,N,A,P,False,A,P
84,A,A,A,A,False,P,P
85,P,N,N,A,False,N,P
86,P,P,N,N,False,P,A
87,A,N,A,P,False,N,P
88,P,P,P,N,False,N,A
89,P,P,A,A,False,A,A
90,P,P,A,A,False,A,P
91,P,P,A,P,False,A,P
92,P,P,N,A,False,N,A
93,P,P,N,A,False,A,P
94,P,N,P,P,False,A,N
95,P,A,P,P,False,P,N
96,P,N,P,P,False,A,N
97,P,P,A,P,False,A,N
98,P,P,A,P,False,P,P
99,P,A,P,P,False,A,P
100,P,A,A,P,False,P,N
101,A,A,A,A,False,A,P
102,P,P,A,P,False,P,N
103,A,P,N,A,False,P,P
104,P,A,A,P,False,A,A
105,A,P,A,A,False,P,P
106,A,P,N,A,False,P,P
107,A,P,A,A,False,P,P
108,A,A,A,P,False,P,P
109,A,A,A,N,False,N,N
110,A,A,A,A,False,A,A
111,P,P,P,P,False,P,P
112,P,P,P,N,False,N,N
113,P,P,P,A,False,A,A
114,P,P,A,P,False,P,P
115,A,A,P,P,False,P,P
116,A,P,A,P,False,P,P
117,P,A,A,P,False,P,P
118,A,P,P,P,False,P,P
119,P,A,P,P,False,P,P
120,P,P,A,N,False,N,N
121,A,A,P,N,False,N,N
122,A,P,A,N,False,N,N
123,A,P,A,N,False,N,N
124,P,A,A,N,False,N,N
125,A,P,P,N,False,N,N
126,P,A,P,N,False,N,N
127,P,P,A,A,False,A,A
128,A,A,P,A,False,A,A
129,A,P,A,A,False,A,A
130,P,A,A,A,False,A,A
131,A,P,P,A,False,A,A
132,P,A,P,A,False,A,A
133,A,A,A,P,False,N,P
134,A,A,A,N,False,P,N
135,A,A,A,P,False,N,N
136,P,P,P,P,False,N,P
